model,mse,rmse,mae,qlike,rmse_var,mae_var,mse_var,model_path
Naive_30min,5.8980015137299333e-05,0.007679844733931756,0.003913318160902622,11.23686691053856,0.0017722937213681378,0.0001649718028570686,3.1410250348009226e-06,
HistoricalMean_30min,8.614666712428896e-05,0.009281522888205844,0.00495451251528537,38.515964264119894,0.0013369121646296196,0.00016412627443635104,1.7873341359346552e-06,
EWMA_30min,5.472937040367177e-05,0.007397930143200311,0.0039659162719957244,22.180684533179985,0.0013106423692073816,0.00013971998357214637,1.7177834199615382e-06,
HAR_Intraday_30min,4.277848636645075e-05,0.006540526459425934,0.0031590594567905946,9.933457817022717,0.0012963730269806993,0.00011813158932231465,1.680583025083101e-06,
LSTM_30min,7.619017451294179e-05,0.008728698328670879,0.004509453450391538,12.022450046543847,0.0013309877373634963,0.00015300488059581346,1.7715283570119992e-06,output/LSTM_30min_42/best_model.pt
PNA_30min,2.1728736391735873e-06,0.0014740670402575275,0.00040212947788769197,0.006942131854197717,0.00016744252595537605,2.2886240196358735e-05,2.8036999498316783e-08,output/pna_30min_20250818_154619/best_model.pt
