model,mse,rmse,mae,qlike,rmse_var,mae_var,mse_var
Naive_30min,5.8980015137299333e-05,0.007679844733931756,0.003913318160902622,11.23686691053856,0.0017722937213681378,0.0001649718028570686,3.1410250348009226e-06
HistoricalMean_30min,8.614666712428896e-05,0.009281522888205844,0.00495451251528537,38.515964264119894,0.0013369121646296196,0.00016412627443635104,1.7873341359346552e-06
HAR_Intraday_30min,4.277848636645075e-05,0.006540526459425934,0.0031590594567905946,9.933457817022717,0.0012963730269806993,0.00011813158932231465,1.680583025083101e-06
EWMA_30min,5.472937040367177e-05,0.007397930143200311,0.0039659162719957244,22.180684533179985,0.0013106423692073816,0.00013971998357214637,1.7177834199615382e-06
LSTM_30min,7.619017451294179e-05,0.008728698328670879,0.004509453450391538,12.022450046543847,0.0013309877373634963,0.00015300488059581346,1.7715283570119992e-06
SpotV2Net_30min,4.163208035700928e-05,0.006452292643472495,0.0031636918111884087,4.463467959450967,0.0013028317745280022,0.00011913830558596972,1.6973706327197832e-06
XGBoost_30min,4.5080962956001154e-05,0.006714235843042837,0.003399512319286705,3.5790327103176702,0.0013053951234156006,0.00012550491595802947,1.7040564282372313e-06
