model,mse,rmse,mae,qlike,rmse_var,mae_var,mse_var
Naive_30min,1.747813105664222e-07,0.00041806854768856053,0.0002094999411248038,0.33776122632018357,5.477000834244794e-06,4.847427789650692e-07,2.999753813831817e-11
HistoricalMean_30min,2.6398108285416737e-07,0.0005137908940942486,0.00027082323664683316,0.515185450624888,4.1170579774939645e-06,4.875570620143917e-07,1.6950166390046693e-11
EWMA_30min,1.6037696055414846e-07,0.00040047092348152876,0.0002106367700172082,0.4039977306146019,4.039519976105839e-06,4.095875972730112e-07,1.6317721637358118e-11
HAR_Intraday_30min,1.2590073340805851e-07,0.0003548249334644601,0.00016888040597982904,0.24555780306903366,3.9980757609565095e-06,3.4701242222518215e-07,1.5984609790347973e-11
LSTM_30min,1.7717001098702923e-07,0.0004209156815646445,0.00020644097301228436,0.30958824933950435,4.075387661114896e-06,4.128598761652156e-07,1.660878458836754e-11
SpotV2Net_30min,9.380606329273761e-08,0.00030627775513859573,0.0001377805932733202,0.15434401241976273,3.979714972352467e-06,3.0019685423420273e-07,1.5838131261166398e-11
TransformerGNN_30min,1.0303045942177193e-07,0.00032098358123395024,0.00013549589600495642,0.13658268872235937,4.008190428321534e-06,3.072192646641687e-07,1.6065590509688363e-11
PNA_30min,8.684213632645593e-08,0.0002946898985823164,0.00012553987581093138,0.12664639500631986,3.97826588039152e-06,2.8195077741743273e-07,1.582659941508732e-11
