model,mse,rmse,mae,qlike,rmse_var,mae_var,mse_var
Naive_30min,1.747813105664222e-07,0.00041806854768856053,0.0002094999411248038,0.33776122632018357,5.477000834244794e-06,4.847427789650692e-07,2.999753813831817e-11
HistoricalMean_30min,2.6398108285416737e-07,0.0005137908940942486,0.00027082323664683316,0.515185450624888,4.1170579774939645e-06,4.875570620143917e-07,1.6950166390046693e-11
EWMA_30min,1.6037696055414846e-07,0.00040047092348152876,0.0002106367700172082,0.4039977306146019,4.039519976105839e-06,4.095875972730112e-07,1.6317721637358118e-11
LSTM_30min,1.7717001098702923e-07,0.0004209156815646445,0.00020644097301228436,0.30958824933950435,4.075387661114896e-06,4.128598761652156e-07,1.660878458836754e-11
SpotV2Net_30min,9.380606310943097e-08,0.0003062777548393467,0.00013778059333835658,0.15434401283881458,3.979714972023059e-06,3.0019685473265165e-07,1.5838131258544494e-11
TransformerGNN_30min,1.089985691977019e-07,0.0003301493134896723,0.00014558848207743414,0.15874109560603486,4.005168918767216e-06,3.290422164195821e-07,1.6041378067858948e-11
