model,mse,rmse,mae,qlike,rmse_var,mae_var,mse_var
Naive_30min,1.747813105664222e-07,0.00041806854768856053,0.0002094999411248038,0.33776122632018357,5.477000834244794e-06,4.847427789650692e-07,2.999753813831817e-11
HistoricalMean_30min,2.6398108285416737e-07,0.0005137908940942486,0.00027082323664683316,0.515185450624888,4.1170579774939645e-06,4.875570620143917e-07,1.6950166390046693e-11
HAR_Intraday_30min,1.2590073340805851e-07,0.0003548249334644601,0.00016888040597982904,0.24555780306903366,3.9980757609565095e-06,3.4701242222518215e-07,1.5984609790347973e-11
EWMA_30min,1.6037696055414846e-07,0.00040047092348152876,0.0002106367700172082,0.4039977306146019,4.039519976105839e-06,4.095875972730112e-07,1.6317721637358118e-11
LSTM_30min,1.7717001098702923e-07,0.0004209156815646445,0.00020644097301228436,0.30958824933950435,4.075387661114896e-06,4.128598761652156e-07,1.660878458836754e-11
SpotV2Net_30min,9.380606372008031e-08,0.0003062777558362349,0.00013778059348549003,0.15434401236110215,3.979714973984591e-06,3.0019685440308744e-07,1.5838131274157176e-11
XGBoost_30min,1.3783823945649444e-07,0.00037126572620765094,0.00018402213267259166,0.2671303397621551,4.031154411968096e-06,3.727457172972277e-07,1.625020589312985e-11
