model,mse,rmse,mae,qlike,rmse_var,mae_var,mse_var,model_path,samples
PNA_30min,2.1728736272139734e-06,0.0014740670362008552,0.0004021294737973822,0.0069421318289261645,0.00016744252486003248,2.2886240116928555e-05,2.8036999131502597e-08,output/pna_30min_20250818_154619/best_model.pt,4236.0
TransformerGNN_30min,1.7498884321210095e-05,0.004183166781424104,0.000954553517943891,0.0189135579506335,0.00044553260117983817,6.600600115351201e-05,1.9849929871407273e-07,output/TransformerGNN_30min_42/best_model.pt,4236.0
SpotV2Net_GAT_30min,4.1632080407097454e-05,0.00645229264735392,0.003163691810772116,4.463467914586317,0.001302831774760176,0.00011913830561601455,1.6973706333247502e-06,output/20240525_RGNN_std_optuna_30min_42/best_model.pt,4178.0
HAR_Intraday_30min,4.277848636645075e-05,0.006540526459425934,0.0031590594567905946,9.933457817022717,0.0012963730269806993,0.00011813158932231465,1.680583025083101e-06,,
Naive_30min,5.8980015137299333e-05,0.007679844733931756,0.003913318160902622,11.23686691053856,0.0017722937213681378,0.0001649718028570686,3.1410250348009226e-06,,
LSTM_30min,7.619018126461974e-05,0.008728698715422577,0.004509453705998173,12.022464925747776,0.0013309877401847822,0.00015300488783293593,1.7715283645221934e-06,output/LSTM_30min_42/best_model.pt,4178.0
HistoricalMean_30min,8.614666712428896e-05,0.009281522888205844,0.00495451251528537,38.515964264119894,0.0013369121646296196,0.00016412627443635104,1.7873341359346552e-06,,
