model,mse,rmse,mae,qlike,rmse_var,mae_var,mse_var
Naive_30min,1.747813105664222e-07,0.00041806854768856053,0.0002094999411248038,0.33776122632018357,5.477000834244794e-06,4.847427789650692e-07,2.999753813831817e-11
HistoricalMean_30min,2.6398108285416737e-07,0.0005137908940942486,0.00027082323664683316,0.515185450624888,4.1170579774939645e-06,4.875570620143917e-07,1.6950166390046693e-11
EWMA_30min,1.6037696055414846e-07,0.00040047092348152876,0.0002106367700172082,0.4039977306146019,4.039519976105839e-06,4.095875972730112e-07,1.6317721637358118e-11
LSTM_30min,1.771700112683153e-07,0.0004209156818987804,0.00020644097311274342,0.309588250150228,4.07538766109916e-06,4.128598766603074e-07,1.660878458823928e-11
SpotV2Net_30min,9.380606362432215e-08,0.0003062777556799092,0.00013778059329523775,0.15434401265923314,3.979714974221937e-06,3.001968547472845e-07,1.583813127604631e-11
TransformerGNN_30min,1.0303046010357265e-07,0.00032098358229599945,0.0001354958962570409,0.13658268883544616,4.008190430751195e-06,3.0721926536563294e-07,1.6065590529165448e-11
PNA_30min,8.684213609024143e-08,0.00029468989818153153,0.00012553987569657112,0.1266463959955036,3.978265879335332e-06,2.819507769463531e-07,1.5826599406683723e-11
